Player,height,two_pt_pct,ft_pct,three_pt_pct,player_id
Quincy Acy,79,0.606,0.735,0.388,203112
James Anderson,78,0.478,0.759,0.267,202341
Marco Belinelli,77,0.456,0.833,0.306,201158
Caron Butler,79,0.537,0.833,0.167,2406
Omri Casspi,81,0.537,0.648,0.409,201956
Willie Cauley-Stein,84,0.567,0.648,0.0,1626161
Darren Collison,72,0.519,0.858,0.401,201954
DeMarcus Cousins,82,0.473,0.718,0.333,202326
Seth Curry,74,0.46,0.833,0.45,203552
Duje Dukan,81,0.0,0.0,0.4,1626251
Rudy Gay,80,0.495,0.78,0.344,200752
Kosta Koufos,84,0.532,0.548,0.0,201585
Ben McLemore,75,0.474,0.718,0.362,203463
Eric Moreland,82,0.5,0.5,0.0,203961
Rajon Rondo,73,0.479,0.58,0.365,200765
Jordan Adams,77,0.4,0.6,0.0,203919
Tony Allen,76,0.468,0.652,0.357,2754
Chris Andersen,82,0.586,0.694,0.286,2365
Matt Barnes,79,0.449,0.804,0.322,2440
Vince Carter,78,0.425,0.833,0.349,1713
Mario Chalmers,74,0.461,0.832,0.309,201596
Mike Conley,73,0.449,0.834,0.363,201144
Bryce Cotton,73,0.571,0.0,0.0,203955
Jordan Farmar,74,0.473,1.0,0.356,200770
Marc Gasol,83,0.463,0.829,0.667,201188
JaMychal Green,80,0.478,0.752,0.333,203210
P.J. Hairston,78,0.449,0.781,0.29,203798
Ryan Hollins,84,0.62,0.619,0.0,200797
Jarell Martin,82,0.474,0.726,0.0,1626185
Ray McCallum,75,0.385,0.8,0.357,203492
Xavier Munford,74,0.426,0.5,0.391,204098
Zach Randolph,81,0.482,0.796,0.231,2216
Russ Smith,72,0.353,0.615,0.2,203893
Lance Stephenson,78,0.5,0.784,0.385,202362
Alex Stepheson,82,0.333,0.333,0.0,1627293
Elliot Williams,77,0.167,0.75,0.25,202343
Brandan Wright,82,0.673,0.542,0.0,201148
Steven Adams,83,0.613,0.582,0.0,203500
Nick Collison,82,0.467,0.697,0.0,2555
Kevin Durant,82,0.569,0.898,0.387,201142
Randy Foye,76,0.405,0.824,0.3,200751
Enes Freedom,82,0.579,0.797,0.476,202683
Josh Huestis,79,0.167,0.0,0.667,203962
Serge Ibaka,82,0.52,0.752,0.326,201586
Mitch McGary,82,0.579,0.4,0.0,203956
Nazr Mohammed,82,0.6,1.0,0.0,1737
Anthony Morrow,77,0.442,0.744,0.387,201627
Cameron Payne,73,0.467,0.792,0.324,1626166
Andre Roberson,79,0.608,0.611,0.311,203460
Kyle Singler,80,0.452,0.659,0.309,202713
Dion Waiters,75,0.421,0.713,0.358,203079
Russell Westbrook,75,0.503,0.812,0.296,201566
Arron Afflalo,77,0.469,0.84,0.382,201167
Lou Amundson,81,0.358,0.519,0.0,200811
Thanasis Antetokounmpo,78,1.0,0.0,0.0,203648
Carmelo Anthony,79,0.463,0.829,0.339,2546
José Calderón,75,0.496,0.875,0.414,101181
Cleanthony Early,80,0.32,0.75,0.267,203921
